Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN15220044	555	555	metagenome	256318	PRJNA638971
SAMN15220045	557	557	metagenome	256318	PRJNA638971
SAMN15220046	558	558	metagenome	256318	PRJNA638971
SAMN15220047	560	560	metagenome	256318	PRJNA638971
SAMN15220048	561	561	metagenome	256318	PRJNA638971
SAMN15220049	562	562	metagenome	256318	PRJNA638971
SAMN15220050	1155	1155	metagenome	256318	PRJNA638971
SAMN15220051	1156	1156	metagenome	256318	PRJNA638971
SAMN15220052	1157	1157	metagenome	256318	PRJNA638971
SAMN15220053	1158	1158	metagenome	256318	PRJNA638971
SAMN15220054	1159	1159	metagenome	256318	PRJNA638971
SAMN15220055	1160	1160	metagenome	256318	PRJNA638971
SAMN15220056	1161	1161	metagenome	256318	PRJNA638971
SAMN15220057	1162	1162	metagenome	256318	PRJNA638971
SAMN15220058	1163	1163	metagenome	256318	PRJNA638971
SAMN15220059	1164	1164	metagenome	256318	PRJNA638971
SAMN15220060	1165	1165	metagenome	256318	PRJNA638971
SAMN15220061	1166	1166	metagenome	256318	PRJNA638971
SAMN15220062	1167	1167	metagenome	256318	PRJNA638971
SAMN15220063	1168	1168	metagenome	256318	PRJNA638971
SAMN15220064	1169	1169	metagenome	256318	PRJNA638971
SAMN15220065	1243	1243	metagenome	256318	PRJNA638971
SAMN15220066	1244	1244	metagenome	256318	PRJNA638971
SAMN15220067	1245	1245	metagenome	256318	PRJNA638971
SAMN15220068	1246	1246	metagenome	256318	PRJNA638971
SAMN15220069	1247	1247	metagenome	256318	PRJNA638971
SAMN15220070	1248	1248	metagenome	256318	PRJNA638971
SAMN15220071	1249	1249	metagenome	256318	PRJNA638971
SAMN15220072	1250	1250	metagenome	256318	PRJNA638971
SAMN15220073	A325	A325	metagenome	256318	PRJNA638971
SAMN15220074	A326	A326	metagenome	256318	PRJNA638971
SAMN15220075	A327	A327	metagenome	256318	PRJNA638971
SAMN15220076	A328	A328	metagenome	256318	PRJNA638971
SAMN15220077	A211	A211	metagenome	256318	PRJNA638971
SAMN15220078	A213	A213	metagenome	256318	PRJNA638971
SAMN15220079	A215	A215	metagenome	256318	PRJNA638971
SAMN15220080	A216	A216	metagenome	256318	PRJNA638971
SAMN15220081	A205	A205	metagenome	256318	PRJNA638971
SAMN15220082	A206	A206	metagenome	256318	PRJNA638971
SAMN15220083	A208	A208	metagenome	256318	PRJNA638971
SAMN15220084	A210	A210	metagenome	256318	PRJNA638971
SAMN15220085	A217	A217	metagenome	256318	PRJNA638971
SAMN15220086	A219	A219	metagenome	256318	PRJNA638971
SAMN15220087	A220	A220	metagenome	256318	PRJNA638971
SAMN15220088	A221	A221	metagenome	256318	PRJNA638971
SAMN15220089	A223	A223	metagenome	256318	PRJNA638971
SAMN15220090	A225	A225	metagenome	256318	PRJNA638971
SAMN15220091	A226	A226	metagenome	256318	PRJNA638971
SAMN15220092	A228	A228	metagenome	256318	PRJNA638971
SAMN15220093	A239	A239	metagenome	256318	PRJNA638971
SAMN15220094	A241	A241	metagenome	256318	PRJNA638971
SAMN15220095	A242	A242	metagenome	256318	PRJNA638971
SAMN15220096	A243	A243	metagenome	256318	PRJNA638971
SAMN15220097	A1	A1	metagenome	256318	PRJNA638971
SAMN15220098	A5	A5	metagenome	256318	PRJNA638971
SAMN15220099	A6	A6	metagenome	256318	PRJNA638971
SAMN15220100	A7	A7	metagenome	256318	PRJNA638971
SAMN15220101	A11	A11	metagenome	256318	PRJNA638971
SAMN15220102	A17	A17	metagenome	256318	PRJNA638971
SAMN15220103	A18	A18	metagenome	256318	PRJNA638971
SAMN15220104	A45	A45	metagenome	256318	PRJNA638971
SAMN15220105	A21	A21	metagenome	256318	PRJNA638971
SAMN15220106	A22	A22	metagenome	256318	PRJNA638971
SAMN15220107	A53	A53	metagenome	256318	PRJNA638971
SAMN15220108	A54	A54	metagenome	256318	PRJNA638971
SAMN15220109	A28	A28	metagenome	256318	PRJNA638971
SAMN15220110	A29	A29	metagenome	256318	PRJNA638971
SAMN15220111	A30	A30	metagenome	256318	PRJNA638971
SAMN15220112	A31	A31	metagenome	256318	PRJNA638971
